"Dept","Course num","Section num","Prof","Title","Author","ISBN","Status"
"ECON","100B","01","GU","Intermediate Macro Bundle W/ Ebook & My Econlab   Econ 100 B Ed: 8 Th Yr: 2014","Econ 100 B","9781269766241","Pick One",
"ECON","100B","01","GU","Macroeconomics Custom Bundle W/ My Econ Lab 8 Th Ed Ed: 8 Th Yr: 2014","Abel, Bernanke Paperback","9780133407921","Pick One",
"ECON","100B","01","GU","Macroeconomics Ed: 8 Th Yr: 2014","Abel","9780132992282","Pick One",
"ECON","110","01","MCWILLIAMS","Cost Accounting A Managerial Emphasis *W/ Code (Loose Leaf) Ed: 15 Th Yr: 2015","Horngren","9780133781106","Pick One",
"ECON","110","01","MCWILLIAMS","Cost Accounting A Managerial Emphasis Access Included *Bound Ed: 15 Th Yr: 2015","Horngren","9780133803815","Pick One",
"ECON","110","01","MCWILLIAMS","Cost Accounting Ed: 15 Th Yr: 2015","Horngren","9780133428704","Pick One",
"ECON","110","01","MCWILLIAMS","New My Accounting Lab W/Etext  Access Card   4 Cost Account Ed: 15 Th Yr: 2015","Horngren","9780133451474","Pick One",
"ECON","111A","01","MORAN","Intermediate Accounting Ed: 1 St","Spiceland","9781259546235","Required",
"ECON","111A","01","MORAN","Wiley Cpa Exam Review 2016: Auditing & Attestation Ed: 1 St Yr: 2016","Whittington","9781119119968","Recommended",
"ECON","111A","01","MORAN","Wiley Cpa Exam Review 2016: Business Environment & Concepts Ed: 1 St Yr: 2016","Whittington","9781119119982","Recommended",
"ECON","111A","01","MORAN","Wiley Cpa Exam Review 2016: Financial Accounting & Reporting Ed: 1 St Yr: 2016","Whittington","9781119122685","Recommended",
"ECON","111A","01","MORAN","Wiley Cpa Exam Review 2016: Regulation Ed: 1 St Yr: 2016","Whittington","9781119119975","Recommended",
"ECON","111B","01","ANDERSON","Intermediate Accounting Ed: 1 St","Spiceland","9781259546235","Required",
"ECON","111B","01","ANDERSON","Wiley Cpa Exam Review 2016: Auditing & Attestation Ed: 1 St Yr: 2016","Whittington","9781119119968","Recommended",
"ECON","111B","01","ANDERSON","Wiley Cpa Exam Review 2016: Business Environment & Concepts Ed: 1 St Yr: 2016","Whittington","9781119119982","Recommended",
"ECON","111B","01","ANDERSON","Wiley Cpa Exam Review 2016: Financial Accounting & Reporting Ed: 1 St Yr: 2016","Whittington","9781119122685","Recommended",
"ECON","111B","01","ANDERSON","Wiley Cpa Exam Review 2016: Regulation Ed: 1 St Yr: 2016","Whittington","9781119119975","Recommended",
"ECON","119","01","MCWILLIAMS","Custom Ucsc Advanced Accounting Ed: 10 Th Yr: 2014","Mcwilliams","9781308009957","Required",
"ECON","125","01","BADEN","History Of The American Economy Ed: 12 Th Yr: 2014","Walton","9781111822927","Required",
"ECON","131","01","STAFF","International Financial Management Abrgd Ed Ed: 12 Th Yr: 2016","Madura","9781305117228","Required",
"ECON","133","01","MUNRO","Essentials Of Investments Ed: 9 Th Yr: 2013","Bodie","9780078034695","Recommended",
"ECON","136","01","BADEN","Competing For The Future (Revised) 1 St Ed Ed: 1 St Yr: 1996","Hamel","9780875847160","Optional",
"ECON","136","01","BADEN","Crafting & Executing Strategy: Concepts & Rdgs Ed: 19 Th Yr: 2014","Thompson","9780077537074","Pick One",
"ECON","136","01","BADEN","Crafting & Executing Strategy: Concepts & Rdgs Ed: 20 Th Yr: 2016","Thompson","9781259297076","Pick One",
"ECON","136","01","BADEN","Your Strategy Needs A Strategy Ed: 1 St Yr: 2015","Reeves","9781625275868","Optional",
"ECON","139A","01","SINGH","E Commerce Business, Technology, Society 2016 Ed: 12 Th Yr: 2017","Laudon","9780133938951","Required",
"ECON","160B","01","MARION","Iclicker&Remote  6 Month Access To Iclicker Ed: 1 St Yr: 2015","Mps","9781498601085","Required",
"ECON","160B","01","MARION","Economics Of Regulation & Antitrust **Used Copies Ed: 4 Th Yr: 2005","Viscusi","9780262220750","Recommended",
"ECON","160B","01","MARION","Industrial Organization *Used Ed: 5 Th Yr: 2014","Pepall","9781118250303","Recommended",
"ECON","169","01","WHITTMAN","Economic Foundations Of Law & Organization Ed: 1 St Yr: 2006","Wittman","9780521685245","Required",
"ECON","170","01","GONZALEZ","Environmental Economics & Management Ed: 5 Th Yr: 2010","Callan","9781439080634","Required",
"ECON","170","01","GONZALEZ","Environmental Economics & Management Ed: 6 Th Yr: 2013","Callan","9781111826673","Required",
"ECON","175","01","GONZALEZ","Blood & Oil Ed: 1 St Yr: 2004","Klare","9780805079388","Required",
"ECON","175","01","GONZALEZ","Quest Rev & Updtd Ed: 1 St Yr: 2012","Yergin","9780143121947","Required",
"ECON","175","01","GONZALEZ","Economics Of The Energy Industries Ed: 2 Nd Yr: 1996","Peirce","9780275956264","Optional",
"ECON","197","01","BRYAN","Economical Writing Ed: 2 Nd Yr: 2000","Mccloskey","9781577660637","Required",
"ECON","197","01","BRYAN","Economical Writing Ed: 2 Nd Yr: 2000","Mccloskey","9781577660637","Required",
"ECON","211C","01","ALDRICH","Time Series Analysis Ed: 1 St Yr: 1994","Hamilton","9780691042893","Required",
